vote_decision,year,ons_const_code,constituency_name,under_30,over_65,age,gender,left_right,weight
Labour,2017,E14000757,Huntingdon,35.89079031456365,16.13647660299652,24,Male,3,1.1008501916690054
Conservatives,2017,E14000757,Huntingdon,35.89079031456365,16.13647660299652,66,Female,8,0.47700763871488805
Conservatives,2017,E14000757,Huntingdon,35.89079031456365,16.13647660299652,69,Female,8,0.47700763871488805
Labour,2017,E14000757,Huntingdon,35.89079031456365,16.13647660299652,37,Male,5,0.9620875476226106
Conservatives,2017,E14000757,Huntingdon,35.89079031456365,16.13647660299652,53,Female,6,1.064371697739427
Conservatives,2017,E14000757,Huntingdon,35.89079031456365,16.13647660299652,37,Female,,2.013803361347606
Conservatives,2017,E14000757,Huntingdon,35.89079031456365,16.13647660299652,74,Female,6,0.9540152774297761
Labour,2017,E14000757,Huntingdon,35.89079031456365,16.13647660299652,61,Female,3,0.6837793070085079
Labour,2017,E14000757,Huntingdon,35.89079031456365,16.13647660299652,58,Female,5,1.6244820302827376
Conservatives,2017,E14000801,Luton Sout,47.45144309312035,10.40206934107823,47,Female,5,
Labour,2017,E14000801,Luton Sout,47.45144309312035,10.40206934107823,64,Female,5,0.8122410151413688
Labour,2017,E14000801,Luton Sout,47.45144309312035,10.40206934107823,22,Female,4,1.0058707681702583
Conservatives,2017,E14000801,Luton Sout,47.45144309312035,10.40206934107823,35,Female,5,0.8015811346117532
Conservatives,2017,E14000801,Luton Sout,47.45144309312035,10.40206934107823,67,Female,10,0.47700763871488805
Conservatives,2017,E14000816,Mid Norfol,32.51602564102564,22.20452724358974,56,Female,5,1.1748048212749547
Labour,2017,E14000816,Mid Norfol,32.51602564102564,22.20452724358974,70,Female,7,0.4164537973434487
Labour,2017,E14000816,Mid Norfol,32.51602564102564,22.20452724358974,73,Male,0,0.32296740765159243
Labour,2017,E14000816,Mid Norfol,32.51602564102564,22.20452724358974,82,Female,3,
Conservatives,2017,E14000816,Mid Norfol,32.51602564102564,22.20452724358974,21,Female,,
Conservatives,2017,E14000816,Mid Norfol,32.51602564102564,22.20452724358974,47,Male,8,0.9380738332830706
Labour,2017,E14000816,Mid Norfol,32.51602564102564,22.20452724358974,55,Female,,0.4061205075706844
Conservatives,2017,E14000816,Mid Norfol,32.51602564102564,22.20452724358974,63,Female,5,0.9303437048034474
Conservatives,2017,E14000842,North East,33.98501459386345,19.74887876414893,85,Female,5,0.5223930278908095
Conservatives,2017,E14000842,North East,33.98501459386345,19.74887876414893,57,Male,4,1.285735855538153
Conservatives,2017,E14000842,North East,33.98501459386345,19.74887876414893,76,Female,7,0.42898596727506705
Labour,2017,E14000842,North East,33.98501459386345,19.74887876414893,67,Female,5,0.4164537973434487
Conservatives,2017,E14000842,North East,33.98501459386345,19.74887876414893,44,Male,8,1.1019784481638093
Conservatives,2017,E14000842,North East,33.98501459386345,19.74887876414893,47,Female,,1.59655754660914
Conservatives,2017,E14000845,North East,33.94727452091598,17.72348508700124,38,Female,7,0.4007905673058766
Conservatives,2017,E14000845,North East,33.94727452091598,17.72348508700124,81,Male,7,0.5717200291308294
Conservatives,2017,E14000845,North East,33.94727452091598,17.72348508700124,61,Male,5,0.857157237025435
Conservatives,2017,E14000845,North East,33.94727452091598,17.72348508700124,63,Male,5,0.857157237025435
Conservatives,2017,E14000845,North East,33.94727452091598,17.72348508700124,64,Female,7,0.7832032141833033
Conservatives,2017,E14000845,North East,33.94727452091598,17.72348508700124,60,Female,5,0.9303437048034474
Conservatives,2017,E14000845,North East,33.94727452091598,17.72348508700124,85,Female,7,0.8579719345501341
Labour,2017,E14000864,Norwich So,43.10644460535843,15.53429192096824,71,Female,3,0.8329075946868973
Conservatives,2017,E14000864,Norwich So,43.10644460535843,15.53429192096824,23,Female,,2.304255804787531
Conservatives,2017,E14000864,Norwich So,43.10644460535843,15.53429192096824,83,Male,5,1.1434400582616588
Conservatives,2017,E14000864,Norwich So,43.10644460535843,15.53429192096824,52,Male,6,1.747312613917988
Conservatives,2017,E14000864,Norwich So,43.10644460535843,15.53429192096824,24,Female,,1.7281918535906475
Conservatives,2017,E14000864,Norwich So,43.10644460535843,15.53429192096824,45,Male,6,0.4690369166415353
Conservatives,2017,E14000864,Norwich So,43.10644460535843,15.53429192096824,80,Male,6,0.5717200291308294
Labour,2017,E14000864,Norwich So,43.10644460535843,15.53429192096824,38,Female,2,0.43954016082197594
Conservatives,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,81,Female,5,0.42898596727506705
Labour,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,23,Female,3,0.5792219890450649
Conservatives,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,80,Female,5,1.044786055781619
Labour,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,25,Female,5,0.7647599592220995
Conservatives,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,43,Female,5,1.006901680673803
Conservatives,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,44,Male,5,0.8772704939828259
Labour,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,75,Male,4,0.9982858043543933
Conservatives,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,30,Female,,1.0482606542222168
Conservatives,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,35,Female,4,0.8015811346117532
Conservatives,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,32,Female,5,0.4379793684908832
Conservatives,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,50,Female,4,2.142846171135903
Labour,2017,E14000934,South Camb,34.67447430491681,16.77306546941452,46,Female,3,0.4646273972704859
Labour,2017,E14000937,South East,34.88617255769783,16.67552426837662,69,Female,3,0.4164537973434487
Conservatives,2017,E14000937,South East,34.88617255769783,16.67552426837662,18,Male,7,1.8913765003100826
Conservatives,2017,E14000937,South East,34.88617255769783,16.67552426837662,36,Female,6,0.4007905673058766
Conservatives,2017,E14000937,South East,34.88617255769783,16.67552426837662,56,Male,6,1.527287219431709
Labour,2017,E14000937,South East,34.88617255769783,16.67552426837662,50,Female,2,0.9292547945409718
Conservatives,2017,E14000937,South East,34.88617255769783,16.67552426837662,79,Female,10,1.044786055781619
Conservatives,2017,E14000937,South East,34.88617255769783,16.67552426837662,46,Male,9,0.9380738332830706
Conservatives,2017,E14000946,South Suff,31.29087104368297,21.71614787688552,63,Male,6,1.0181914796211402
Labour,2017,E14000946,South Suff,31.29087104368297,21.71614787688552,59,Male,4,0.3741726099411827
Labour,2017,E14000946,South Suff,31.29087104368297,21.71614787688552,65,Male,4,0.9115549574241539
Labour,2017,E14000946,South Suff,31.29087104368297,21.71614787688552,24,Male,5,0.6339150692479742
Conservatives,2017,E14000946,South Suff,31.29087104368297,21.71614787688552,45,Female,5,1.064371697739427
Labour,2017,E14000946,South Suff,31.29087104368297,21.71614787688552,48,Female,2,0.37416441694587194
Conservatives,2017,E14000946,South Suff,31.29087104368297,21.71614787688552,59,Female,5,0.39160160709165165
Labour,2017,E14000946,South Suff,31.29087104368297,21.71614787688552,67,Female,5,0.4164537973434487
Conservatives,2017,E14000951,South West,34.38547512558281,17.05457273357453,75,Female,6,0.5223930278908095
Conservatives,2017,E14000951,South West,34.38547512558281,17.05457273357453,82,Female,8,0.5223930278908095
Conservatives,2017,E14000951,South West,34.38547512558281,17.05457273357453,60,Male,8,1.0181914796211402
Labour,2017,E14000951,South West,34.38547512558281,17.05457273357453,60,Male,3,1.4966904397647307
Labour,2017,E14000951,South West,34.38547512558281,17.05457273357453,42,Female,4,0.6998242382182539
Conservatives,2017,E14000951,South West,34.38547512558281,17.05457273357453,82,Female,7,1.286957901825201
Labour,2017,E14000951,South West,34.38547512558281,17.05457273357453,66,Female,3,0.5902046924948741
Labour,2017,E14000951,South West,34.38547512558281,17.05457273357453,31,Female,5,0.7647599592220995
Conservatives,2017,E14000981,Suffolk Co,29.18515673173148,25.28227885208285,56,Female,7,0.4651718524017237
Labour,2017,E14000981,Suffolk Co,29.18515673173148,25.28227885208285,57,Male,0,0.44446846726957207
Conservatives,2017,E14000981,Suffolk Co,29.18515673173148,25.28227885208285,84,Male,8,0.5717200291308294
Conservatives,2017,E14000981,Suffolk Co,29.18515673173148,25.28227885208285,90,Female,10,0.5223930278908095
Labour,2017,E14000981,Suffolk Co,29.18515673173148,25.28227885208285,72,Female,3,0.29510234624743703
Conservatives,2017,E14000981,Suffolk Co,29.18515673173148,25.28227885208285,65,Female,6,0.9540152774297761
Conservatives,2017,E14000981,Suffolk Co,29.18515673173148,25.28227885208285,66,Female,7,0.9540152774297761
Labour,2017,E14000981,Suffolk Co,29.18515673173148,25.28227885208285,59,Male,2,0.7483452198823654
Labour,2017,E14000981,Suffolk Co,29.18515673173148,25.28227885208285,55,Female,3,
Conservatives,2017,E14000981,Suffolk Co,29.18515673173148,25.28227885208285,82,Female,8,1.044786055781619
Labour,2017,E14000995,Thurrock,41.67304632058836,11.29499806459937,32,Male,1,0.8369724763170843
Conservatives,2017,E14000995,Thurrock,41.67304632058836,11.29499806459937,29,Male,5,0.5736213729616392
Labour,2017,E14000995,Thurrock,41.67304632058836,11.29499806459937,59,Male,,0.8889369345391441
Labour,2017,E14000995,Thurrock,41.67304632058836,11.29499806459937,30,Female,,0.38237997961104975
Labour,2017,E14001027,Welwyn Hat,42.50052204947131,14.89074928336845,42,Female,4,0.34991211910912695
Labour,2017,E14001027,Welwyn Hat,42.50052204947131,14.89074928336845,44,Female,2,0.6998242382182539
Conservatives,2017,E14001027,Welwyn Hat,42.50052204947131,14.89074928336845,74,Female,10,0.47700763871488805
Conservatives,2017,E14001027,Welwyn Hat,42.50052204947131,14.89074928336845,48,Male,6,0.5824375379726632
Conservatives,2017,E14001027,Welwyn Hat,42.50052204947131,14.89074928336845,74,Male,10,1.0440982422862919
Conservatives,2017,E14001027,Welwyn Hat,42.50052204947131,14.89074928336845,72,Male,3,1.0440982422862919
Conservatives,2017,E14001027,Welwyn Hat,42.50052204947131,14.89074928336845,58,Female,6,2.3258592620086183
Conservatives,2017,E14001027,Welwyn Hat,42.50052204947131,14.89074928336845,70,Female,1,0.6760225228376234
Labour,2017,E14000553,Bermondsey,47.23684418520099,6.930810451937212,19,Male,2,2.7136959891418075
Conservatives,2017,E14000553,Bermondsey,47.23684418520099,6.930810451937212,68,Female,7,0.5879336379131065
Labour,2017,E14000553,Bermondsey,47.23684418520099,6.930810451937212,28,Female,3,1.885202954682554
Labour,2017,E14000558,Bexleyheat,38.18299790547309,15.95027775248156,44,Male,6,1.1858167164546194
Conservatives,2017,E14000558,Bexleyheat,38.18299790547309,15.95027775248156,66,Male,7,1.286898632440914
Labour,2017,E14000591,Brent Cent,45.52379982246541,9.388233239715364,51,Female,5,1.1453488530593996
Labour,2017,E14000591,Brent Cent,45.52379982246541,9.388233239715364,23,Male,6,2.035271991856357
Labour,2017,E14000591,Brent Cent,45.52379982246541,9.388233239715364,64,Female,2,0.42139456779171613
Labour,2017,E14000591,Brent Cent,45.52379982246541,9.388233239715364,54,Female,1,0.5726744265296998
Labour,2017,E14000592,Brent Nort,43.03648703340494,11.99293297219887,82,Male,5,0.6152163581827887
