"party","ame_diff"
"Labour",0.00593119888920646
"Conservative",-0.00470174615692645
"Labour",0.00123074593470225
"Conservative",0.000869349971139522
"Labour",0.00170331786214196
"Conservative",-0.010019231610453
"Labour",0.00588060993743945
"Conservative",-0.00187523998526466
"Labour",-0.0076761481888591
"Conservative",-0.0071738298394031
"Labour",0.000336941544475754
"Conservative",0.00338340113259364
"Labour",0.0106949310007192
"Conservative",-0.00220566745771316
"Labour",0.00528549019536792
"Conservative",-0.00595388033249884
"Labour",0.00445619986903974
"Conservative",0.00146517970951857
"Labour",0.0029479042627625
"Conservative",0.00217145765206949
"Labour",-2.31033953728907e-05
"Conservative",-0.00721764739563817
"Labour",0.00254256359771248
"Conservative",0.00101742641348799
"Labour",0.00801506643538491
"Conservative",0.000813205641856778
"Labour",0.00380726429777088
"Conservative",0.00506601003550276
"Labour",0.00141217343969561
"Conservative",0.00288973877520336
"Labour",0.0068871666240463
"Conservative",-0.00732285030470217
"Labour",0.00649834744271326
"Conservative",-0.00187621944001782
"Labour",0.00901265380679354
"Conservative",-0.000350540161293941
"Labour",0.00550634718830881
"Conservative",5.88342754680206e-05
"Labour",0.0045759921638589
"Conservative",0.000561865918562545
"Labour",0.00366467303847179
"Conservative",0.00362072245308079
"Labour",0.00578628133331101
"Conservative",-0.00151859914429808
"Labour",-0.00117670521238145
"Conservative",-0.00954292028729537
"Labour",0.00802839728069741
"Conservative",-0.00741496385788442
"Labour",0.00654543245003643
"Conservative",-0.000445541039238826
"Labour",0.00654764269118616
"Conservative",-0.00667136888203277
"Labour",0.00253552030418696
"Conservative",-0.000283198664246767
"Labour",-0.0048430147725826
"Conservative",0.00503072209705383
"Labour",0.00165937564129256
"Conservative",-0.00692696453597892
"Labour",0.00962632041866049
"Conservative",-0.0020978388658738
"Labour",0.00733257993550393
"Conservative",0.00472260789659331
"Labour",-0.000135866280333913
"Conservative",-0.000124678919338711
"Labour",0.00325419421233447
"Conservative",0.000248442602988731
"Labour",0.00142332543131839
"Conservative",0.000396520720434617
"Labour",-0.003588040442283
"Conservative",0.000274728079969074
"Labour",0.00320928515821955
"Conservative",-0.00398681960225927
"Labour",0.00184410577079659
"Conservative",0.00563364881424144
"Labour",0.0023515205667086
"Conservative",-0.00163583069022518
"Labour",0.0079714805744761
"Conservative",0.000604468327022419
"Labour",0.00581438097644273
"Conservative",-0.00526751150067382
"Labour",0.00325691346200465
"Conservative",-0.00568736865175393
"Labour",0.00845909522826906
"Conservative",-0.0040819385446594
"Labour",-0.00200324652627221
"Conservative",-0.00100532564784282
"Labour",0.00852988496656027
"Conservative",0.00537280499374484
"Labour",0.00351990590019141
