"party","ame_diff"
"Labour",-0.0428827594998449
"Conservative",-0.0121782499493239
"Labour",-0.00520271252834812
"Conservative",0.0104357652043989
"Labour",-0.0256065601414494
"Conservative",-0.00713484394827595
"Labour",-0.0209115407652459
"Conservative",-0.0254268026625953
"Labour",-0.0268915655705179
"Conservative",-0.0263393346040083
"Labour",-0.0460163998751737
"Conservative",-0.00834959310991447
"Labour",-0.0379621891190216
"Conservative",0.00250305773498826
"Labour",-0.0119340232793171
"Conservative",-0.00483395389245229
"Labour",-0.0216155943253002
"Conservative",-0.0108977749428289
"Labour",-0.0162980390345848
"Conservative",-0.0452312507154046
"Labour",-0.0212219263180496
"Conservative",-0.0113553818726333
"Labour",-0.0288299677032133
"Conservative",-0.0306345372158825
"Labour",-0.0168449067723981
"Conservative",-0.0179224864541277
"Labour",-0.0158107031723934
"Conservative",-0.0064718151675467
"Labour",-0.0273329246604433
"Conservative",-0.0366025001479063
"Labour",-0.0374218008621819
"Conservative",-0.011889377710093
"Labour",-0.0187984469712176
"Conservative",-0.00304218266514263
"Labour",-0.0156128278244428
"Conservative",0.00697402426884435
"Labour",-0.028962564944481
"Conservative",-0.0138818347850383
"Labour",-0.0481924995358386
"Conservative",0.00970749104039474
"Labour",-0.0109271701551118
"Conservative",-0.0223146470122059
"Labour",-0.0217786985107977
"Conservative",-0.041813978889113
"Labour",-0.0158822367065105
"Conservative",-0.0164735104786216
"Labour",-0.0106248254658083
"Conservative",-0.00537382512086657
"Labour",-0.0211506078838566
"Conservative",-0.0345973141721117
"Labour",0.000986600254582775
"Conservative",-0.00434283994527215
"Labour",0.00234699381930254
"Conservative",-0.0107044560774801
"Labour",-0.0451266947683547
"Conservative",0.00521485959624826
"Labour",-0.0183234167370451
"Conservative",-0.0191939924913261
"Labour",-0.00114502385635893
"Conservative",-0.025657961574897
"Labour",0.00189450964700939
"Conservative",0.0076019936856821
"Labour",-0.0448458864823435
"Conservative",-0.00267858565258312
"Labour",-0.0116913417664959
"Conservative",-0.0147974533262897
"Labour",-0.0362173803505065
"Conservative",0.0171767299882619
"Labour",-0.0264177991013298
"Conservative",-0.0204233535683401
"Labour",-0.0190241767713044
"Conservative",-0.0363601964479699
"Labour",-0.0273804171794472
"Conservative",-0.0167683955703517
"Labour",-0.0234281417894534
"Conservative",-0.00583981286866337
"Labour",-0.0336884391651249
"Conservative",-0.00534691249192001
"Labour",-0.0335207051403912
"Conservative",-0.00113793920454572
"Labour",-0.0298384199573127
"Conservative",-0.0163834645344487
"Labour",-0.0437690671064097
"Conservative",0.00162140044186161
"Labour",-0.0169010755297589
"Conservative",-0.0193673049383331
"Labour",-0.0280720568193002
"Conservative",-0.0236459935936151
"Labour",-0.0121580212540218
"Conservative",-0.0206471857880688
"Labour",-0.0299387817029665
"Conservative",-0.0200519203107064
"Labour",-0.0207033390369449
"Conservative",0.0163838970014568
"Labour",-0.0275322054451863
"Conservative",-0.0137770589653473
